───────────────────────────────────────────────────────────────────────────────
Language                 Files     Lines   Blanks  Comments     Code Complexity
~com/caixa/backend/szcpb213.cs      3393     1077      1073     1243        152
~com/caixa/backend/szsis534.cs      3387      958      1122     1307        161
~com/caixa/backend/szemp512.cs      3370     1125       794     1451        214
~com/caixa/backend/szemb081.cs      3345     1137       792     1416        137
~com/caixa/backend/szsis537.cs      3343     1144       855     1344        209
~com/caixa/backend/szcpb007.cs      3309      946       901     1462         67
~com/caixa/backend/szcpb005.cs      3266      949       798     1519         66
~com/caixa/backend/szemb089.cs      3247      964       965     1318        132
~com/caixa/backend/szsip017.cs      3246     1152       848     1246        135
~com/caixa/backend/szcpb221.cs      3238     1010       975     1253         69
~com/caixa/backend/szsip078.cs      3191     1058       901     1232        230
~com/caixa/backend/szsip050.cs      3189     1056       703     1430        122
~com/caixa/backend/szemp072.cs      3121      864       827     1430        167
~com/caixa/backend/szemb061.cs      3007      965       778     1264        187
~/com/caixa/backend/zl4220b.cs      2982     1028       682     1272         81
~com/caixa/backend/zecps002.cs      2930      865       840     1225        121
~com/caixa/backend/szemp041.cs      2916      882       809     1225        111
~/NHibernateUtilIntegration.cs      2914      488         6     2420         32
~/com/caixa/backend/zl3765b.cs      2907      912       665     1330        223
~/com/caixa/backend/zl3760b.cs      2907      912       665     1330        223
~com/caixa/backend/sipss507.cs      2900      956       903     1041        289
~com/caixa/backend/szcpb230.cs      2887      784       909     1194         84
~com/caixa/backend/szsis536.cs      2835      836       740     1259        175
~/com/caixa/backend/zl3520b.cs      2830      871       758     1201        309
~com/caixa/backend/szems324.cs      2818      979       718     1121        106
~/com/caixa/backend/zl3510b.cs      2816      855       770     1191        298
~com/caixa/backend/szsip096.cs      2813     1064       700     1049        115
~/com/caixa/backend/zl4210b.cs      2788      912       624     1252        122
~com/caixa/backend/szsip080.cs      2787      959       754     1074        162
~/com/caixa/backend/zl4165b.cs      2773      864       627     1282        208
~/com/caixa/backend/zl4160b.cs      2773      864       627     1282        208
~/com/caixa/backend/zl4020b.cs      2759      849       728     1182        379
~/com/caixa/backend/zl4030b.cs      2759      849       728     1182        379
~/com/caixa/backend/zl3750b.cs      2758      869       634     1255        211
~com/caixa/backend/szsis521.cs      2755      938       726     1091        119
~/com/caixa/backend/zl4050b.cs      2752      839       733     1180        399
~/com/caixa/backend/zl3780b.cs      2748      865       632     1251        208
~com/caixa/backend/szsis533.cs      2723      810       826     1087        140
~com/caixa/backend/szsip074.cs      2710      984       661     1065        211
~com/caixa/backend/szemp044.cs      2701      762       823     1116        209
~/com/caixa/backend/zl4040b.cs      2687      821       711     1155        381
~/com/caixa/backend/zl4010b.cs      2686      819       714     1153        381
~com/caixa/backend/zecpb031.cs      2683      772       706     1205        118
~com/caixa/backend/sz00001s.cs      2675      787       603     1285        168
~/com/caixa/backend/zl3770b.cs      2671      842       610     1219        199
~ils/NHibernateUtilSzemb302.cs      2658       87        51     2520        270
~com/caixa/backend/szemp042.cs      2641      760       797     1084        114
~/com/caixa/backend/zl4150b.cs      2623      821       595     1207        196
~/com/caixa/backend/zl4180b.cs      2613      817       593     1203        193
~com/caixa/backend/szemb512.cs      2604      866       563     1175        106
~com/caixa/backend/szemb056.cs      2603      845       678     1080        105
~com/caixa/backend/szsip097.cs      2595      714       747     1134        245
